"1","XIAO RP2040 "
"1","3D printed case: base "
"1","3D printed case: cap "
"3","SK6812MINI LEDs "
"6","Cherry MX Switches "
"6","DSA Keycaps "
"1","0.91" 128x32 OLED Display"
"",""
"",""
"",""
